sex,age,H,E,C,FoC
male,55,3.7,3,3.2,2.6
female,20,2.5,3.1,2.2,2
male,57,NA,3.1,4.3,1.2
male,19,3.5,1.8,2.1,3.2
female,20,3.3,3.4,2.8,2.8
female,20,2.6,2.6,2.9,2
male,34,3.2,2.5,4,1.6
female,19,2.9,4,3.7,2
female,19,3.4,3.4,3.2,3.4
male,20,2.4,2.1,3.4,1.4
male,20,3,2.8,2.8,2.4
female,24,2.9,3.1,3.3,2.2
female,19,3.4,3.5,3.4,2.8
female,26,NA,3,4.1,3.6
female,22,NA,NA,4.1,2.2
female,19,4.3,2.6,2.9,2.8
female,19,2.2,2.5,2.6,NA
female,21,3.5,3,3.9,NA
female,18,NA,3.6,4.2,3.2
female,20,3.9,3.4,3.3,1.8
female,20,3,2.5,2.7,2
female,19,NA,3.8,4.3,NA
female,20,4,NA,2.7,1.8
female,19,2.6,4,3.1,3.6
male,22,3.8,2.5,2.3,2
female,18,3.8,3.3,3.7,2
female,20,2.9,3.7,3.9,1.6
male,20,3.6,2.2,2.6,1.2
female,46,3.5,2.8,3,1.4
male,20,3.5,3.9,3,2.6
male,19,3.1,2.9,2.9,1
female,19,2.8,4,3.9,3.6
female,44,NA,NA,4.1,2.4
female,20,NA,3.5,4.1,3
female,19,3,NA,3,3.2
female,19,NA,4.2,4.5,NA
male,19,4,3.1,3.6,NA
female,19,3.5,3.9,3.7,3
female,18,NA,3.6,4.3,1
male,19,3.8,3.9,3.1,1.6
female,21,4.6,4.9,3.8,1.8
female,22,3.7,3.6,3.7,2.2
male,21,3.8,2.5,2.7,1.8
female,20,NA,4.7,4.3,NA
female,19,NA,3,4.4,NA
male,19,3.3,3.3,2.5,2.6
female,20,2.9,3.4,3.7,1.8
male,20,2.7,2.5,3.6,1.2
female,20,3.2,3.5,3.6,2.8
female,19,NA,4.4,4.5,2
female,19,NA,3.3,4.1,2
female,19,NA,4,4.5,3
female,19,3.4,2.9,3,2.2
female,19,3.1,3.8,3.7,2
female,18,3.4,NA,2.7,2
female,19,2.9,1.7,3.6,1
female,19,3,3.8,3.6,1.4
female,19,NA,4.2,4.3,2.2
female,19,NA,3.2,4.1,3
female,28,3,2.8,3.4,2.2
female,18,2.9,3.9,3.1,3
female,19,3.4,2.9,3.8,3
female,21,3.4,3.4,2.7,1.8
male,20,2.8,3.3,2.9,1.6
female,19,3.1,2.9,4,2
female,18,3.1,2.9,3,NA
male,21,3.2,2.9,3,NA
female,19,3,4.3,3.6,2.8
female,18,2.9,2.1,2.5,2.4
male,41,4,NA,3.5,1.8
female,86,3.5,3.2,3.8,1.2
female,34,NA,4,4.4,1.2
female,19,3,3.3,3,2.6
female,18,3,3.7,3.6,NA
female,20,2.8,4.3,3.3,NA
female,18,NA,4.2,4.5,2.4
female,29,2.5,3,3.3,3.4
female,20,3.3,NA,3.9,NA
male,21,3.8,2.8,3.5,2
female,20,3.7,2.1,3.3,1.8
female,19,2.8,4.1,3.3,2.4
female,24,NA,4.4,4.1,3.6
female,83,3.7,3.4,3.5,2
male,19,3.4,2.5,3.5,NA
female,20,3.3,4.2,3.4,NA
female,19,4.1,3.6,3.2,1
female,19,2.5,3.3,3.8,2
male,19,3.3,3.7,4,1.2
female,18,3.4,3.7,3.7,3
female,20,3.9,4,2.9,1.4
female,54,4.6,3.5,3.7,1
female,18,4,4,3.8,3
female,19,2.2,4.2,2.4,NA
female,19,3,3.4,3,2.8
female,20,1.9,4.1,3.9,3.4
female,19,3.2,3.7,3.7,NA
female,20,3.3,3.2,3.1,2.2
female,20,2.9,NA,3,1.8
female,20,3.4,1.8,3.2,2
female,19,3.4,NA,4,NA
male,19,2.3,3,3.5,2.2
female,18,NA,3.8,4.2,1.6
female,20,2.7,3.4,2.7,3.6
female,18,2,3.4,2.7,3.4
female,20,3.3,2.9,3.9,2.2
female,21,2,NA,2.5,3.4
male,83,3,2.8,3.4,NA
female,20,NA,3.3,4.6,1
female,19,NA,3.8,4.1,NA
female,20,3.8,NA,4,1.4
male,19,3.1,2.1,2.2,1.4
female,18,2.3,4.2,3.5,2.8
female,19,3.3,2.8,2.5,1.6
male,20,3.8,2,3.8,2
female,20,3,NA,2.6,2.8
female,36,4,NA,3.5,1.4
female,20,3.7,2.8,3.9,1.4
male,24,2.6,3.2,2.2,3.6
female,22,3.8,2.8,2.6,1
female,18,NA,2.8,4.1,3
female,19,3.2,4,2.4,2.8
female,18,1.7,2.7,3.6,1.6
female,24,4.2,3.6,3.6,2.2
female,19,3.2,3.4,2.9,3
female,20,2.4,4.1,3.3,1.4
female,20,2.6,3.4,2.8,2.8
female,37,NA,3.5,4.5,1
female,19,2.5,2.4,2.4,1.2
female,20,3,3.9,3.6,2.8
female,19,2.7,3.1,3.6,NA
female,19,2.5,3.9,3.8,3
female,18,3.6,4.1,4,2.2
female,19,2.8,3.2,2.8,3.2
female,19,2.9,3.5,3.7,2
female,44,3.5,2.7,3.9,2.2
